title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,area_sqft,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet,available_year,available_month,available_day,price_per_sqm,amenities_count,total_rooms,price_per_bedroom,price_per_bathroom,area_per_bedroom,area_per_bathroom,amenities_per_room
BEST OPPORTUNITY FOR INVESTMENT BY ORASCOM - 0% DP,14800000,3,True,3,114,Apartment,2026-06-17,"Mangroovy Residence, El Gouna, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1227,Red Sea,Mangroovy Residence,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,129824.56140350878,9,6,4933333.333333333,4933333.333333333,38.0,38.0,1.5
OWN VILLA STEPS TO THE SEA FULLY FINISHED ON 10YRS,40000000,4,True,4,260,Villa,2026-06-17,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2799,North Coast,Almaza Bay,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,153846.15384615384,9,8,10000000.0,10000000.0,65.0,65.0,1.125
Ready to move Corner Townhouse O West lowest price,16123500,3,True,3,195,Townhouse,2026-06-17,"O West, 6 October Compounds, 6 October City, Giza","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",2099,Giza,O West,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,17,82684.61538461539,10,6,5374500.0,5374500.0,65.0,65.0,1.6666666666666667
Fully Finished 2BR Apartment in Village West,10900000,2,True,2,123,Apartment,2026-06-17,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1324,Giza,Village West,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,88617.8861788618,9,4,5450000.0,5450000.0,61.5,61.5,2.25
Hot Offer Luxury Villa with Sea View Marassi,110000000,5,True,6,660,Villa,2026-06-17,"Marassi, Sidi Abdel Rahman, North Coast","Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",7104,North Coast,Marassi,Furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,166666.66666666666,9,11,22000000.0,18333333.333333332,132.0,110.0,0.8181818181818182
Resale 2 Bed Chalet Marina Marassi Lowest Price,15500000,2,True,2,106,Chalet,2026-06-17,"Marassi, Sidi Abdel Rahman, North Coast","Balcony, Covered Parking, Built in Wardrobes, Central A/C, Children's Pool, Lobby in Building, View of Landmark, Shared Gym, Shared Spa, Security",1141,North Coast,Marassi,Unknown,"Balcony, Covered Parking, Built in Wardrobes, Central A/C, Children's Pool, Lobby in Building, View of Landmark, Shared Gym, Shared Spa, Security","['Balcony', 'Covered Parking', 'Built In Wardrobes', 'Central A/C', ""Children'S Pool"", 'Lobby In Building', 'View Of Landmark', 'Shared Gym', 'Shared Spa', 'Security']",1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2026,6,17,146226.4150943396,10,4,7750000.0,7750000.0,53.0,53.0,2.5
Own chalet fully finished with Ora silver sands,14000000,2,True,2,190,Chalet,2026-06-17,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Shared Pool",2045,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Private Garden', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,73684.21052631579,9,4,7000000.0,7000000.0,95.0,95.0,2.25
Not Fake Offer: Villa for Sale in City Gate,18000000,3,False,3,255,Twin House,2026-06-17,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water",2745,Cairo,City Gate,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,2026,6,17,70588.23529411765,10,6,6000000.0,6000000.0,85.0,85.0,1.6666666666666667
Resale Chalet Garden 190m- Exclusive Price at Azha,6900000,3,False,3,131,Chalet,2026-06-17,"Azha North, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Spa",1410,North Coast,Azha North,Unfurnished,"Balcony, Central A/C, Covered Parking, Private Garden, Shared Pool, Study, View of Water, Security, Shared Spa","['Balcony', 'Central A/C', 'Covered Parking', 'Private Garden', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa']",1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,2026,6,17,52671.75572519084,9,6,2300000.0,2300000.0,43.666666666666664,43.666666666666664,1.5
ONE STORY VILLA | FULL SEA VIEW FOR SALE | RAMLA,96000000,4,True,4,350,Villa,2026-06-17,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Shared Spa, Walk-in Closet, View of Landmark",3767,North Coast,Ramla,Unfurnished,"Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Shared Spa, Walk-in Closet, View of Landmark","['Kitchen Appliances', 'Maids Room', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Walk-In Closet', 'View Of Landmark']",0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,2026,6,17,274285.71428571426,7,8,24000000.0,24000000.0,87.5,87.5,0.875
