title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,area_sqft,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet,available_year,available_month,available_day,price_per_sqm,amenities_count,total_rooms,price_per_bedroom,price_per_bathroom,area_per_bedroom,area_per_bathroom,amenities_per_room
Villa Finished On Lagoon Early Delivery Over 8Year,36000000,4,True,4,300,Villa,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3229,North Coast,Al Masyaf,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,120000.0,9,8,9000000.0,9000000.0,75.0,75.0,1.125
Villa Finished On Lagoon Early Delivery Over 8Year,40000000,4,True,4,300,Villa,2026-06-22,"Hacienda White, Sidi Abdel Rahman, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3229,North Coast,Hacienda White,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,133333.33333333334,9,8,10000000.0,10000000.0,75.0,75.0,1.125
Luxury Apartment With ACs In Prime Location At Zed,9334000,1,True,2,95,Apartment,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1023,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,98252.63157894737,9,3,9334000.0,4667000.0,95.0,47.5,3.0
Luxury Serviced 2-BR Apartment In Prime Location,10445000,2,True,2,120,Apartment,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1292,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,87041.66666666667,9,4,5222500.0,5222500.0,60.0,60.0,2.25
Fully Finished Luxury Town House At Zed | 10Y Plan,29776000,4,True,3,220,Villa,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2368,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,135345.45454545456,9,7,7444000.0,9925333.333333334,55.0,73.33333333333333,1.2857142857142858
1st Lagoon Row Prime Chalet With ACs Over 10Y Plan,26310000,3,True,3,190,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2045,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,138473.68421052632,9,6,8770000.0,8770000.0,63.333333333333336,63.333333333333336,1.5
LagoonFront & Sea View Prime Chalet Over 10Y Plan,18221000,3,True,3,160,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1722,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,113881.25,9,6,6073666.666666667,6073666.666666667,53.333333333333336,53.333333333333336,1.5
Luxury 4BR SeaView Chalet With ACs 10Y Installment,31332900,4,True,3,200,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2153,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,156664.5,9,7,7833225.0,10444300.0,50.0,66.66666666666667,1.2857142857142858
Luxury Standalone 5BR Villa With ACs Over 10Y Plan,44650000,5,True,4,250,Villa,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2691,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,178600.0,9,9,8930000.0,11162500.0,50.0,62.5,1.0
First SeaRow Standalone Villa + ACs Deliver 2027,88210000,5,True,4,250,Villa,2026-06-22,"Seashore, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2691,North Coast,Seashore,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,352840.0,9,9,17642000.0,22052500.0,50.0,62.5,1.0
3BR Luxury Serviced Apartment + ACs Over 10Y Plan,15334000,3,True,3,150,Apartment,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1615,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,102226.66666666667,9,6,5111333.333333333,5111333.333333333,50.0,50.0,1.5
Corner Town House With ACs At Zed | Over 10Y Plan,33210000,4,True,3,220,Villa,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2368,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,150954.54545454544,9,7,8302500.0,11070000.0,55.0,73.33333333333333,1.2857142857142858
Signature Standalone Villa With ACs Over 10Y Plan,65320000,6,True,4,300,Villa,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3229,Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,217733.33333333334,9,10,10886666.666666666,16330000.0,50.0,75.0,0.9
LOWEST PRICE Apartment 165m Ready to Move in Sarai,5400000,3,False,3,165,Apartment,2026-06-18,"S1, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Balcony, Security",1776,Cairo,S1,Unknown,"Balcony, Security","['Balcony', 'Security']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026,6,18,32727.272727272728,2,6,1800000.0,1800000.0,55.0,55.0,0.3333333333333333
BEST DEAL Apartment 147m+ G 161m Finished + ACs,7500000,2,False,2,147,Apartment,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Partly furnished, Central A/C, Private Garden, Security",1582,Cairo,S2,Partly furnished,"Central A/C, Private Garden, Security","['Central A/C', 'Private Garden', 'Security']",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2026,6,18,51020.4081632653,3,4,3750000.0,3750000.0,73.5,73.5,0.75
LOWEST PRICE Resale 122m RTM Prime Location,4400000,2,False,2,122,Apartment,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Balcony, Security",1313,Cairo,S2,Unknown,"Balcony, Security","['Balcony', 'Security']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026,6,18,36065.57377049181,2,4,2200000.0,2200000.0,61.0,61.0,0.5
LOWEST PRICE S Villa 295m Deliverd Prime Location,13500000,4,True,4,295,Villa,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",3175,Cairo,S2,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,18,45762.71186440678,5,8,3375000.0,3375000.0,73.75,73.75,0.625
Zero Over Fully Furinshed Apartment Prime Location,8000000,2,False,2,102,Apartment,2026-06-18,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Furnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark, Study",1098,Giza,Park Side Residence,Furnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark, Study","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Landmark', 'Study']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,2026,6,18,78431.37254901961,8,4,4000000.0,4000000.0,51.0,51.0,2.0
Own Your Home Now With The Lowest Down Payment,8000000,1,False,1,110,Chalet,2026-06-18,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark",1184,Giza,Vye Sodic,Unfurnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Landmark']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,2026,6,18,72727.27272727272,7,2,8000000.0,8000000.0,110.0,110.0,3.5
Own Your Floating chalet Sea View With ZERO% DP,12761000,3,True,3,150,Chalet,2026-06-18,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1615,Red Sea,Makadi Heights,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,18,85073.33333333333,9,6,4253666.666666667,4253666.666666667,50.0,50.0,1.5
Launch Price Finished 1st Row Chalet Sea View 5%DP,9000000,2,True,3,125,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool",1345,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Maids Room', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,18,72000.0,9,5,4500000.0,3000000.0,62.5,41.666666666666664,1.8
Last Chalet Full Sea View Early Delivery In Mesca.,20000000,3,True,2,165,Chalet,2026-06-18,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1776,Red Sea,Mesca,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,18,121212.12121212122,9,5,6666666.666666667,10000000.0,55.0,82.5,1.8
LIMITED UNITS AVAILABLE! LOWEST PRICE CHALET 5% DP,15000000,3,True,3,123,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1324,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,18,121951.21951219512,9,6,5000000.0,5000000.0,41.0,41.0,1.5
Deliver 2027 | Fully Finished 1st SeaRow Villa,32119000,4,True,3,190,Villa,2026-06-22,"Seashore, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2045,North Coast,Seashore,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,169047.36842105264,9,7,8029750.0,10706333.333333334,47.5,63.333333333333336,1.2857142857142858
Lowest Price Lagoon View Chalet Only 5%DP | to 8Y,13870000,2,False,2,85,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security",915,North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,2026,6,22,163176.4705882353,9,4,6935000.0,6935000.0,42.5,42.5,2.25
Lowest Price Lagoon View Chalet Only 5%DP | to 8Y,9215000,1,False,1,56,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security",603,North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,2026,6,22,164553.57142857142,9,2,9215000.0,9215000.0,56.0,56.0,4.5
PRIME DUPLEX WITH LAGOON VIEW AND LOWEST 5%DP,22000000,3,True,3,180,Duplex,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",1938,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,21,122222.22222222222,9,6,7333333.333333333,7333333.333333333,60.0,60.0,1.5
DOUBLE VIEW CHALET WITH OLD PRICE AND LONG 8YRS,20000000,3,True,3,140,Chalet,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1507,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,21,142857.14285714287,9,6,6666666.666666667,6666666.666666667,46.666666666666664,46.666666666666664,1.5
PRIME TOWN WITH LOWEST 5%DP AND LONG INSTALLMENTS,31000000,3,True,3,250,Townhouse,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2691,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,21,124000.0,9,6,10333333.333333334,10333333.333333334,83.33333333333333,83.33333333333333,1.5
PRIME TOWN HOUSE WITH LOWEST DOWN PAYMENT 5% ONLY,35000000,3,True,3,250,Townhouse,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2691,North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,140000.0,9,6,11666666.666666666,11666666.666666666,83.33333333333333,83.33333333333333,1.5
LIMITED UNITS WITH LAGOON VIEW AND LONG 8YRS !!,18000000,2,True,2,120,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1292,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,150000.0,9,4,9000000.0,9000000.0,60.0,60.0,2.25
SEA VIEW CHALET WITH LOWEST 5%DP AND LONG 8YRS,16000000,2,True,2,130,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1399,North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,123076.92307692308,9,4,8000000.0,8000000.0,65.0,65.0,2.25
GROUND CHALET WITH OEST 5%DP AND LONG INSTALLMENTS,23000000,3,True,3,160,Chalet,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study",1722,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,2026,6,21,143750.0,9,6,7666666.666666667,7666666.666666667,53.333333333333336,53.333333333333336,1.5
PRIME TOWN HOUSE WITH OLD PRICE WITH 5%DP ALMAZA,23000000,3,True,3,150,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1615,North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,153333.33333333334,9,6,7666666.666666667,7666666.666666667,50.0,50.0,1.5
LAST TWIN HOUSE WITH LOWEST PRICE AND LONG 8YRS,41000000,4,True,4,350,Twin House,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3767,North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,117142.85714285714,9,8,10250000.0,10250000.0,87.5,87.5,1.125
SEA VIEW VILLA WITH LOWEST 5%DP AND LONG 8YRS,45000000,3,True,3,300,Villa,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3229,North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,22,150000.0,9,6,15000000.0,15000000.0,100.0,100.0,1.5
