title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet
DELIVERY NOW APARTMENT FOR SALE OVER 4 Y,15000000,3,True,3,1641765,Apartment,2026-06-22,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,El Patio Oro,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LUXURY APARTMENT FOR SALE DELIVERY NOW -PATIO ORO,25000000,3,True,3,2102260,Apartment,2026-06-22,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",Cairo,El Patio Oro,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
FINISHED VILLA FOR SALE IN RAMLA SEA VIEW WITH 5%,96000000,4,True,3,2452637,Villa,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",North Coast,Ramla,Unfurnished,"Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
WITH 5% DP FINISHED CHALET FOR SALE IN RAMLA,33000000,3,True,3,1691819,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
FINISHED TWIN HOUS FOR SALE WITH 5% DP SEA VIEW,79000000,4,True,4,2732939,Twin House,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Covered Parking, Balcony, Built in Wardrobes, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study, View of Water",North Coast,Ramla,Unfurnished,"Covered Parking, Balcony, Built in Wardrobes, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study, View of Water","['Covered Parking', 'Balcony', 'Built In Wardrobes', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
OVER 8 Y FINISHED CHALET IN PRIME LOCATION,22000000,3,True,3,1521636,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Built in Wardrobes, Balcony, Covered Parking, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Unfurnished,"Built in Wardrobes, Balcony, Covered Parking, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Built In Wardrobes', 'Balcony', 'Covered Parking', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
PRIME CHALET FOR SALE SEA VIEW WITH 5% DP,17000000,2,True,2,1301399,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
FINISHED CHALET FOR SALE SEA VIEW OVER 8 Y,14000000,4,True,4,2352530,Villa,2026-06-22,"Seazen, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Water, Security",North Coast,Seazen,Unfurnished,"Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'View Of Water', 'Security']",1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0
FINISHED CHALET FOR SALE OVER 8 Y PRIME LOCATION,12000000,2,True,2,90969,Chalet,2026-06-22,"Seazen, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Seazen,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
WITH 10% DP FINISHED CHALET FOR SALE IN SEAZEN,14000000,3,True,3,1151238,Chalet,2026-06-22,"Seazen, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Study, View of Water, Security",North Coast,Seazen,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
