title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet
BEST DEAL Apartment 147m+ G 161m Finished + ACs,7500000,2,False,2,1471582,Apartment,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Partly furnished, Central A/C, Private Garden, Security",Cairo,S2,Partly furnished,"Central A/C, Private Garden, Security","['Central A/C', 'Private Garden', 'Security']",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LOWEST PRICE Resale 122m RTM Prime Location,4400000,2,False,2,1221313,Apartment,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Balcony, Security",Cairo,S2,Unknown,"Balcony, Security","['Balcony', 'Security']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOWEST PRICE S Villa 295m Deliverd Prime Location,13500000,4,True,4,2953175,Villa,2026-06-18,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",Cairo,S2,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Zero Over Fully Furinshed Apartment Prime Location,8000000,2,False,2,1021098,Apartment,2026-06-18,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Furnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark, Study",Giza,Park Side Residence,Furnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark, Study","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Landmark', 'Study']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0
Own Your Home Now With The Lowest Down Payment,8000000,1,False,1,1101184,Chalet,2026-06-18,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark",Giza,Vye Sodic,Unfurnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Landmark","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Landmark']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
Own Your Floating chalet Sea View With ZERO% DP,12761000,3,True,3,1501615,Chalet,2026-06-18,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Makadi Heights,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Launch Price Finished 1st Row Chalet Sea View 5%DP,9000000,2,True,3,1251345,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Maids Room, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Maids Room', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Last Chalet Full Sea View Early Delivery In Mesca.,20000000,3,True,2,1651776,Chalet,2026-06-18,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Red Sea,Mesca,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LIMITED UNITS AVAILABLE! LOWEST PRICE CHALET 5% DP,15000000,3,True,3,1231324,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Deliver 2027 | Fully Finished 1st SeaRow Villa,32119000,4,True,3,1902045,Villa,2026-06-22,"Seashore, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Seashore,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Lowest Price Lagoon View Chalet Only 5%DP | to 8Y,13870000,2,False,2,85915,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security",North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
Lowest Price Lagoon View Chalet Only 5%DP | to 8Y,9215000,1,False,1,56603,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security",North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
PRIME DUPLEX WITH LAGOON VIEW AND LOWEST 5%DP,22000000,3,True,3,1801938,Duplex,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0
DOUBLE VIEW CHALET WITH OLD PRICE AND LONG 8YRS,20000000,3,True,3,1401507,Chalet,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
PRIME TOWN WITH LOWEST 5%DP AND LONG INSTALLMENTS,31000000,3,True,3,2502691,Townhouse,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
PRIME TOWN HOUSE WITH LOWEST DOWN PAYMENT 5% ONLY,35000000,3,True,3,2502691,Townhouse,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LIMITED UNITS WITH LAGOON VIEW AND LONG 8YRS !!,18000000,2,True,2,1201292,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
SEA VIEW CHALET WITH LOWEST 5%DP AND LONG 8YRS,16000000,2,True,2,1301399,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
GROUND CHALET WITH OEST 5%DP AND LONG INSTALLMENTS,23000000,3,True,3,1601722,Chalet,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study",North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
PRIME TOWN HOUSE WITH OLD PRICE WITH 5%DP ALMAZA,23000000,3,True,3,1501615,Chalet,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LAST TWIN HOUSE WITH LOWEST PRICE AND LONG 8YRS,41000000,4,True,4,3503767,Twin House,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
SEA VIEW VILLA WITH LOWEST 5%DP AND LONG 8YRS,45000000,3,True,3,3003229,Villa,2026-06-22,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Almaza Bay,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Villa sea view | 0%dp over 10years in ras elhekma!,45000000,4,True,5,4204521,Villa,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LAST LARGE LUXURY 1 BED SEAVIEW OVER 8 YEARS !!!!!,9000000,1,True,2,90969,Chalet,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Al Masyaf,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LAST LUXURY LARGE VILLA OVER 10 Y | IN RAS ELHEKMA,30000000,4,True,5,4504844,Villa,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Landmark",North Coast,Al Masyaf,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, View of Landmark","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'View Of Landmark']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
LAST LARGE LUXURY 2 BED SEAVIEW OVER 8 YEARS !!!!!,12000000,2,True,3,1251345,Chalet,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Al Masyaf,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Duplex sea view | 0%dp over10 years in ras elhekma,22000000,3,True,4,1952099,Duplex,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Villa sea view | 0%dp over 10years in ras elhekma!,33000000,3,True,4,3503767,Townhouse,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Pool, Shared Pool, Study, View of Water, Security",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
Chalet sea view | 0%dp over 10years in raselhekma!,12800000,2,True,3,1301399,Chalet,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, View of Water, View of Landmark",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, View of Water, View of Landmark","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'View Of Water', 'View Of Landmark']",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
LAST LUXURY LARGE VILLA OVER 10 Y | IN RAS ELHEKMA,28000000,3,True,4,3503767,Twin House,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Al Masyaf,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Chalet sea view | 0%dp over 10years in raselhekma!,14800000,3,True,4,1601722,Chalet,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, View of Water, Security",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'View Of Water', 'Security']",1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
LAST LARGE LUXURY 3 BED SEAVIEW OVER 8 YEARS !!!!!,18000000,3,True,4,1451561,Chalet,2026-06-22,"Al Masyaf, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Al Masyaf,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Villa sea view | 0%dp over 10years in ras elhekma!,33000000,3,True,4,3503767,Twin House,2026-06-22,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Luxury 3BR Apt with Private Roof in Palm Hills,17000000,3,True,3,2102260,Apartment,2026-06-22,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Palm Hills New Cairo,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
APARTMENT LAKE VIEW FOR SALE IN NEW LAUNCH WITH 5%,8000000,3,True,3,1401507,Apartment,2026-06-22,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",Cairo,Mountain View Hyde Park,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
FINISHED APARTMENT FOR SALE IN PALM HILLS OVER 5 Y,14000000,3,True,3,1521636,Apartment,2026-06-22,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Palm Hills New Cairo,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
FINISHED APARTMENT FOR SALE OVER 5 YEARS,9000000,2,True,2,1141227,Apartment,2026-06-22,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Palm Hills New Cairo,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
LUXURY PENTHOUSE FOR SALE IN NEW LAUNCH OVER 14 Y,14000000,4,True,3,1801938,Penthouse,2026-06-22,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water",Cairo,Mountain View Hyde Park,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Study', 'View Of Water']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0
APARTMENT FOR SALE IN NEW LAUNCH OVER 14 YEARS,5000000,1,True,1,70753,Apartment,2026-06-22,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",Cairo,Mountain View Hyde Park,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
IVILLA FOR SALE GREENERY VIEW WITH 5% DP NEW PHASE,16000000,4,True,3,2002153,Ivilla,2026-06-22,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water",Cairo,Mountain View Hyde Park,Unknown,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0
